346,moving-average-from-data-stream,,1,True,数据流中的移动平均值,设计;队列,,
347,top-k-frequent-elements,,2,False,前 K 个高频元素,堆;哈希表,,
348,design-tic-tac-toe,,2,True,判定井字棋胜负,设计,,
349,intersection-of-two-arrays,,1,False,两个数组的交集,排序;哈希表;双指针;二分查找,,
350,intersection-of-two-arrays-ii,,1,False,两个数组的交集 II,排序;哈希表;双指针;二分查找,,
351,android-unlock-patterns,,2,True,安卓系统手势解锁,动态规划;回溯算法,,
352,data-stream-as-disjoint-intervals,,3,False,将数据流变为多个不相交区间,二分查找,,
353,design-snake-game,,2,True,贪吃蛇,设计;队列,,
354,russian-doll-envelopes,,3,False,俄罗斯套娃信封问题,二分查找;动态规划,,
355,design-twitter,,2,False,设计推特,堆;设计;哈希表,,
356,line-reflection,,2,True,直线镜像,哈希表;数学,,
357,count-numbers-with-unique-digits,,2,False,计算各个位数不同的数字个数,数学;动态规划;回溯算法,,
358,rearrange-string-k-distance-apart,,3,True,K 距离间隔重排字符串,堆;贪心算法;哈希表,,
359,logger-rate-limiter,,1,True,日志速率限制器,设计;哈希表,,
360,sort-transformed-array,,2,True,有序转化数组,数学;双指针,,
361,bomb-enemy,,2,True,轰炸敌人,动态规划,,
362,design-hit-counter,,2,True,敲击计数器,设计,,
363,max-sum-of-rectangle-no-larger-than-k,,3,False,矩形区域不超过 K 的最大数值和,队列;二分查找;动态规划,,
364,nested-list-weight-sum-ii,,2,True,加权嵌套序列和 II,深度优先搜索,,
365,water-and-jug-problem,ac,2,False,水壶问题,数学,55575503,python3
366,find-leaves-of-binary-tree,,2,True,寻找二叉树的叶子节点,树;深度优先搜索,,
367,valid-perfect-square,,1,False,有效的完全平方数,数学;二分查找,,
368,largest-divisible-subset,,2,False,最大整除子集,数学;动态规划,,
369,plus-one-linked-list,,2,True,给单链表加一,链表,,
370,range-addition,,2,True,区间加法,数组,,
371,sum-of-two-integers,,1,False,两整数之和,位运算,,
372,super-pow,,2,False,超级次方,数学,,
373,find-k-pairs-with-smallest-sums,,2,False,查找和最小的K对数字,堆,,
374,guess-number-higher-or-lower,,1,False,猜数字大小,二分查找,,
375,guess-number-higher-or-lower-ii,,2,False,猜数字大小 II,极小化极大;动态规划,,
376,wiggle-subsequence,,2,False,摆动序列,贪心算法;动态规划,,
377,combination-sum-iv,,2,False,组合总和 Ⅳ,动态规划,,
378,kth-smallest-element-in-a-sorted-matrix,,2,False,有序矩阵中第K小的元素,堆;二分查找,,
379,design-phone-directory,,2,True,电话目录管理系统,设计;链表,,
380,insert-delete-getrandom-o1,,2,False,常数时间插入、删除和获取随机元素,设计;数组;哈希表,,
381,insert-delete-getrandom-o1-duplicates-allowed,,3,False,O(1) 时间插入、删除和获取随机元素 - 允许重复,设计;数组;哈希表,,
382,linked-list-random-node,,2,False,链表随机节点,蓄水池抽样,,
383,ransom-note,,1,False,赎金信,字符串,,
384,shuffle-an-array,,2,False,打乱数组,,,
385,mini-parser,,2,False,迷你语法分析器,栈;字符串,,
386,lexicographical-numbers,,2,False,字典序排数,,,
387,first-unique-character-in-a-string,,1,False,字符串中的第一个唯一字符,哈希表;字符串,,
388,longest-absolute-file-path,,2,False,文件的最长绝对路径,,,
389,find-the-difference,,1,False,找不同,位运算;哈希表,,
390,elimination-game,,2,False,消除游戏,,,
391,perfect-rectangle,,3,False,完美矩形,,,
